feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	log2FC	Trend	MicrobeClass
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae	Group	MI	-2.37084397741177	0.456143902234166	84	80	1.45079182439508e-06	9.56667090813816e-05	-2.37084397741177	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus	Group	MI	-2.33921560696966	0.454798736559585	84	80	1.80503224681852e-06	9.56667090813816e-05	-2.33921560696966	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Rountreeviridae.g__Andhravirus.s__Staphylococcus_virus_Andhra	Group	MI	-2.33921560696966	0.454798736559585	84	80	1.80503224681852e-06	9.56667090813816e-05	-2.33921560696966	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus	Group	MI	-2.71647263406354	0.506818260440946	84	82	7.49532530054278e-07	9.56667090813816e-05	-2.71647263406354	Down	virus
k__Viruses.p__Uroviricota.c__Caudoviricetes.o__Caudovirales.f__Siphoviridae.g__Chivirus.s__Salmonella_phage_TS13	Group	MI	-2.67503796539128	0.488000083914105	84	82	4.54062472432742e-07	9.56667090813816e-05	-2.67503796539128	Down	virus
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum	Group	MI	3.095488241042	0.381405772020937	84	24	4.11569171691247e-12	8.62237414693163e-10	3.095488241042	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Herbaspirillum.s__Herbaspirillum_sp	Group	MI	3.095488241042	0.381405772020937	84	24	4.11569171691247e-12	8.62237414693163e-10	3.095488241042	Up	bacteria
k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae	Group	MI	3.3629849989527	0.610928329470488	84	29	4.12702930829134e-07	5.76408426724691e-05	3.3629849989527	Up	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	Group	MI	-4.35014052189978	0.823442998497103	84	38	1.02644792503917e-06	0.000107520420147853	-4.35014052189978	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella	Group	MI	-3.9127363073709	0.844746976032714	84	33	1.34624150473631e-05	0.00112815038096903	-3.9127363073709	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_confusa	Group	MI	-2.28762170504098	0.604396499730397	84	23	0.000291480000886757	0.0203550200619252	-2.28762170504098	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae.g__Weissella.s__Weissella_cibaria	Group	MI	-2.75660399545252	0.750499000763511	84	22	0.000425943342618502	0.0254957515081646	-2.75660399545252	Down	bacteria
k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.s__Streptococcus_infantarius	Group	MI	-2.59943586627656	0.732451837678277	84	20	0.000643312317527258	0.0336934826304901	-2.59943586627656	Down	bacteria
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae.g__Microsporum	Group	MI	1.28846400988482	0.315235458010648	84	68	0.00010120788030553	0.020443991821717	1.28846400988482	Up	fungi
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Eurotiales.f__Aspergillaceae.g__Aspergillus.s__Aspergillus_luchuensis	Group	MI	1.047273689246	0.286165945651336	84	74	0.00044545835200029	0.0299941957013528	1.047273689246	Up	fungi
k__Fungi.p__Ascomycota.c__Saccharomycetes.o__Saccharomycetales.f__Saccharomycetaceae.g__Kluyveromyces	Group	MI	1.23845070491495	0.335298444172704	84	67	0.000397496834393667	0.0299941957013528	1.23845070491495	Up	fungi
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales	Group	MI	1.06192011514486	0.313164559569678	84	76	0.00107379790258691	0.0310375886725758	1.06192011514486	Up	fungi
k__Fungi.p__Ascomycota.c__Eurotiomycetes.o__Onygenales.f__Arthrodermataceae	Group	MI	1.06192011514486	0.313164559569678	84	76	0.00107379790258691	0.0310375886725758	1.06192011514486	Up	fungi
k__Fungi.p__Ascomycota.c__Sordariomycetes.o__Ophiostomatales.f__Ophiostomataceae.g__Sporothrix.s__Sporothrix_schenckii	Group	MI	1.1710993775274	0.331984023327918	84	71	0.000690058084247683	0.0310375886725758	1.1710993775274	Up	fungi
