feature	metadata	value	coef	stderr	N	N.not.0	pval	qval	ID
CON26__27821	Group	MI	-3.58237361720667	0.631504812115728	85	41	1.99632029197885e-7	0.00339718095042206	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON28__60082	Group	MI	-3.32060868208726	0.59808652781702	85	35	3.30947973738145e-7	0.00339718095042206	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Bembunaquatrovirus
CON35__30874	Group	MI	-3.37986918118093	0.645715137125542	85	31	1.22533721192587e-6	0.00582095825281656	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON35__53586	Group	MI	-3.30499475115477	0.622811622235173	85	37	9.1246714721997e-7	0.00582095825281656	Unclassified
HF22__10208	Group	MI	-3.13467776673533	0.603008016657267	85	57	1.4176712744317e-6	0.00582095825281656	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON20__16571	Group	MI	-2.62742880922017	0.516421544843612	85	34	2.21550497500145e-6	0.00703747113342017	Unclassified
CON35__43183	Group	MI	-2.87567123006783	0.567431852310189	85	32	2.39952742006533e-6	0.00703747113342017	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Salasmaviridae
CON24__94729	Group	MI	-3.14703808768554	0.632160814959297	85	35	3.43186777056626e-6	0.00880703066621566	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON1__69307	Group	MI	-2.92943377754792	0.604531594158706	85	37	5.79002447920525e-6	0.0126494161016906	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON35__26243	Group	MI	-4.09622644235038	0.848091853558226	85	59	6.16143015182201e-6	0.0126494161016906	Unclassified
CON10__86495	Group	MI	-3.43509504555341	0.73911569445106	85	33	1.25021805674119e-5	0.0197438282345359	Unclassified
CON43__13370	Group	MI	-2.00788567783756	0.430145811284172	85	28	1.15610726128786e-5	0.0197438282345359	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
MI33__20705	Group	MI	-4.27323993669158	0.916578959413633	85	54	1.18201335070629e-5	0.0197438282345359	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON34__52914	Group	MI	-2.87364260207498	0.627707288650904	85	40	1.63170833574977e-5	0.0223326480886285	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Drexlerviridae
HF22__9393	Group	MI	-2.51127381462875	0.546768140113788	85	33	1.54126931099351e-5	0.0223326480886285	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON1__33049	Group	MI	-3.21835949405116	0.714036315968459	85	47	2.13436597034289e-5	0.0236574265025986	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON26__17032	Group	MI	-2.66921175033044	0.591165746780833	85	29	2.07159872343381e-5	0.0236574265025986	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Lidleunavirus
CON38__74710	Group	MI	-3.79654486540508	0.843575746756053	85	66	2.18943547759071e-5	0.0236574265025986	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
HF24__30087	Group	MI	-2.80189862202826	0.619939184120243	85	39	2.0368476651629e-5	0.0236574265025986	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Salasmaviridae
CON34__22620	Group	MI	-3.43877337181091	0.773524628740469	85	57	2.69285588983554e-5	0.0251292415537834	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Peduoviridae
HF22__28345	Group	MI	-2.22227257444788	0.497652329027249	85	28	2.49858058366894e-5	0.0251292415537834	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Salasmaviridae
HF22__41441	Group	MI	-2.44693786793607	0.550115901687854	85	31	2.66819231553668e-5	0.0251292415537834	d__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes
HF22__27217	Group	MI	-2.09724997728503	0.473917642759364	85	29	2.90520615508926e-5	0.0259321227669489	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON20__53938	Group	MI	-2.64176224661015	0.600346307922391	85	31	3.18928756388332e-5	0.0262749991840309	Unclassified
CON47__26168	Group	MI	-2.40868584561006	0.547486617569252	85	29	3.19958587238565e-5	0.0262749991840309	Unclassified
CON1__71032	Group	MI	-2.37112139378948	0.545080639911368	85	33	3.8467724266571e-5	0.0269088703867353	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Unclassified;g__Brigitvirus
CON26__4418	Group	MI	-2.51971714147239	0.580029274254204	85	37	3.93212913590872e-5	0.0269088703867353	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON43__44846	Group	MI	-1.81866867834246	0.417991543866774	85	27	3.83348929723599e-5	0.0269088703867353	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON6__2592	Group	MI	-3.09261431428368	0.711671985204387	85	28	3.91117868520678e-5	0.0269088703867353	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
HF47__14413	Group	MI	-2.17552814836815	0.49914717339293	85	33	3.72794080387216e-5	0.0269088703867353	Unclassified
CON35__22276	Group	MI	-2.31322689904977	0.54042471622158	85	28	4.97550946387619e-5	0.0319210029041807	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
HF7__56858	Group	MI	-2.27581336566298	0.531383525354092	85	24	4.93140696649783e-5	0.0319210029041807	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes;o__Unclassified;f__Salasmaviridae
CON26__7583	Group	MI	-2.92119941866855	0.690508885316313	85	55	5.97385235671095e-5	0.0371646026919018	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
HF22__9251	Group	MI	-3.1727040639675	0.757443823132336	85	58	6.95673792544527e-5	0.0408062370312547	d__Varidnaviria;k__Bamfordvirae;p__Nucleocytoviricota;c__Megaviricetes
HF7__1727	Group	MI	-2.54316781863329	0.606477815267039	85	22	6.84036273916926e-5	0.0408062370312547	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
CON34__10987	Group	MI	-2.14309390522569	0.517855542664962	85	20	8.3465689201684e-5	0.047598627758627	d__Duplodnaviria;k__Heunggongvirae;p__Uroviricota;c__Caudoviricetes
